"","gene","ColGM","ColABA","ColTSA","YGM","YABA","YTSA","kClusters"
"5537","AT3G06530",-0.188688672443948,-0.581342784005571,1.34754549424291,-0.853095589105336,-0.873350562995279,1.14893211430722,11
"5538","AT1G63430",-0.228038962909689,-0.569623754033244,1.4363687071261,-0.855052173801058,-0.842051853117286,1.05839803673517,11
"5539","AT3G03110",-0.124798910074869,-0.563415276472218,1.4173731659559,-0.943493470296494,-0.826880987043607,1.04121547793129,11
"5540","AT1G56145",-0.104075992296937,-0.610711204806863,1.4282486298471,-0.833317153667262,-0.908241982069646,1.02809770299361,11
"5541","AT4G04920",-0.20769690917553,-0.631217599654034,1.32542997594706,-0.94871655738794,-0.716207135737599,1.17840822600804,11
"5542","AT5G25790",-0.0469086467030074,-0.674587480864409,1.29983956443524,-0.941971637314411,-0.792794825620684,1.15642302606727,11
"5543","AT1G08300",-0.300903999721298,-0.811402666081899,1.58433983367813,-0.881127963611047,-0.459110655515284,0.868205451251399,11
"5544","AT5G38565",-0.319115543588611,-0.73929336185094,1.53585610991685,-0.878266549338981,-0.554930118424535,0.955749463286212,11
"5545","AT4G11800",-0.124111744152354,-0.748973745892451,1.49206915692708,-0.92150386112412,-0.655720582277747,0.95824077651959,11
"5546","AT3G54610",-0.218222426268174,-0.555565109995861,1.52381550576569,-0.908943385122964,-0.781619394891867,0.94053481051318,11
"5547","AT4G02710",-0.285187277049316,-0.582343671320201,1.52415385251602,-0.972846681760513,-0.635635455870885,0.951859233484895,11
"5548","AT2G41500",-0.488798541610713,-0.423338476653955,1.40595136203582,-0.901297689204146,-0.720867007895416,1.12835035332841,11
"5549","AT2G40000",-0.340482036264874,-0.389872098549027,1.44448957948179,-0.848808567161694,-0.911432353225308,1.04610547571911,11
"5550","AT1G76970",-0.336742711322638,-0.457444635472781,1.48065978187237,-0.940380632451801,-0.758609264928187,1.01251746230304,11
